appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2725433_155334,2725433,155334,3691,3690,2016-08-07,Maksim Tishkin,RU1,1,0,0,0,79
2919819_227035,2919819,227035,144,1091,2017-09-28,Josip Misic,EL,0,0,0,0,90
3603176_163656,3603176,163656,124,124,2021-11-28,Connor Goldson,SC1,0,0,0,0,90
3947823_767643,3947823,767643,83678,83678,2022-11-08,Oleksandr Myzyuk,UKR1,0,0,0,0,90
2719016_124550,2719016,124550,897,235,2017-04-08,Ola John,ES1,0,0,0,0,32
3589551_342877,3589551,342877,1420,410,2022-04-24,Enzo Ebosse,FR1,0,0,0,0,90
3201297_120070,3201297,120070,465,987,2019-10-26,Paul McGinn,SC1,0,0,0,0,90
2648383_55980,2648383,55980,2861,2861,2015-12-27,Didier Ovono,BE1,0,0,0,0,90
2636238_264220,2636238,264220,1027,379,2015-11-08,Reece Burke,FAC,1,0,0,0,90
3229021_243779,3229021,243779,10140,2995,2019-08-03,Adriano Castanheira,POCP,0,0,0,0,90
2882179_59543,2882179,59543,22010,43,2017-07-13,Andy Halliday,ELQ,1,0,0,0,90
3087304_175988,3087304,175988,2976,449,2018-08-16,Anthony Nwakaeme,ELQ,0,0,0,0,90
3222966_187047,3222966,187047,2844,19,2019-07-25,Simon Skrabb,ELQ,0,0,0,0,90
2459789_56628,2459789,56628,133,642,2015-02-15,Erik Bakker,NL1,0,0,0,0,73
2494458_24337,2494458,24337,128,128,2015-01-14,Cleyton,GR1,0,0,0,1,90
3047817_118284,3047817,118284,1160,969,2019-04-01,Jordan Ferri,FR1,1,0,0,0,85
3283234_514514,3283234,514514,49806,331,2019-12-19,Iván Barbero,CDR,0,0,0,0,82
3446037_418896,3446037,418896,13017,48332,2020-09-16,Stanislav Sorokin,UKRP,0,0,0,0,81
2722633_69014,2722633,69014,6,6,2016-09-26,Ousmane Viera,TR1,1,0,0,0,59
3901614_503075,3901614,503075,1044,276,2022-08-17,Isak Hien,ECLQ,0,0,0,0,90
