appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
3661865_58489,3661865,58489,3060,3999,2021-09-23,Kyriakos Papadopoulos,GR1,0,0,0,0,90
2492249_88610,2492249,88610,2374,3719,2014-08-31,Evgeniy Gapon,RUP,0,0,0,0,120
3890140_111432,3890140,111432,2578,2578,2023-01-28,Stevie May,SC1,0,0,0,0,16
2888419_315145,2888419,315145,798,1421,2018-05-06,Azor Matusiwa,NL1,0,0,0,0,90
3614665_290862,3614665,290862,6574,6574,2021-11-21,Maxime López,IT1,0,0,0,0,90
3487176_35247,3487176,35247,1091,1091,2020-12-20,Vieirinha,GR1,1,0,0,0,83
2866272_225078,2866272,225078,272,5724,2017-07-06,Eero Markkanen,ELQ,0,0,3,0,86
2538964_109881,2538964,109881,610,499,2015-03-19,Thulani Serero,EL,0,0,0,0,33
2516541_104495,2516541,104495,2964,703,2014-12-17,Lyle Taylor,FAC,0,0,0,0,120
2482199_73457,2482199,73457,415,6646,2014-10-19,Aleksandar Pesic,FR1,0,0,0,0,34
2929834_222571,2929834,222571,4032,1050,2017-10-25,Ramiro Guerra,CDR,0,0,0,0,51
3076932_274737,3076932,274737,10481,2700,2018-07-26,Juan Lescano,ELQ,0,0,0,0,72
2482264_241229,2482264,241229,417,3709,2014-12-03,Jordan Amavi,FR1,0,0,0,0,90
3203598_288253,3203598,288253,39,336,2020-01-25,Jerry St. Juste,L1,0,0,0,0,90
2728607_91887,2728607,91887,2759,2759,2017-02-18,Milan Lalkovic,SC1,0,0,0,0,90
3415376_649452,3415376,649452,354,244,2020-12-13,Issa Kaboré,BE1,0,0,0,1,51
3589573_798404,3589573,798404,3524,3524,2022-05-08,Alidu Seidu,FR1,0,0,0,0,90
2867591_363253,2867591,363253,192,192,2017-12-13,Livio Milts,NL1,0,0,0,0,2
3889182_610442,3889182,610442,122,800,2022-08-09,Rasmus Højlund,CLQ,0,0,1,0,75
3126570_186878,3126570,186878,3371,511,2018-12-01,Jordon Forster,FAC,1,0,0,0,90
3451447_139336,3451447,139336,1533,1075,2021-05-09,Paulo Oliveira,ES1,0,0,0,0,90
3513613_504592,3513613,504592,653,653,2021-02-14,Abdul Rahman Weiss,GR1,0,0,0,0,90
3205107_104324,3205107,104324,8042,6418,2019-07-18,Luciano Balbi,ELQ,0,0,0,1,85
3598069_182582,3598069,182582,200,200,2022-05-15,Joris van Overeem,NL1,0,0,0,0,90
2464798_30306,2464798,30306,2990,2990,2014-09-14,Ivanildo,PO1,0,0,0,0,17
2767514_255888,2767514,255888,11615,1096,2016-11-30,Roberto Núñez,CDR,0,0,1,0,31
3252859_342240,3252859,342240,384,1268,2019-10-29,Thijmen Goppel,NLP,0,0,1,0,90
3130833_284856,3130833,284856,3060,3060,2019-01-31,Dimitrios Chatziisaias,GR1,0,0,0,1,90
3159815_468260,3159815,468260,1091,1091,2019-03-31,Léo Jabá,GR1,0,0,0,0,63
2594034_86536,2594034,86536,524,868,2015-12-12,Erdem Sen,TR1,0,0,0,0,90
3603065_81831,3603065,81831,2578,2578,2021-09-18,Efe Ambrose,SC1,0,0,0,0,90
3151140_273551,3151140,273551,441,441,2019-02-09,Hilal El-Helwe,GR1,1,0,0,0,90
3076244_94928,3076244,94928,6992,60551,2018-09-23,Ruslan Babenko,UKR1,1,0,0,0,90
2884086_57162,2884086,57162,141,6646,2018-04-21,Sofiane Feghouli,TR1,0,0,0,0,77
3602217_59290,3602217,59290,55686,55686,2021-08-28,Anton Savin,UKR1,0,0,0,0,20
3077535_323426,3077535,323426,14888,862,2018-07-29,Andrea Magrini,CIT,0,0,0,0,120
3050335_28984,3050335,28984,603,603,2018-12-15,Sol Bamba,GB1,0,0,0,0,90
2875212_257103,2875212,257103,22110,22110,2017-12-09,Tobias Christensen,DK1,0,0,1,1,90
3277194_485582,3277194,485582,1434,610,2019-12-18,Sontje Hansen,NLP,0,0,0,0,2
2897446_73794,2897446,73794,1038,800,2017-12-09,Duván Zapata,IT1,0,0,0,0,89
3087292_214346,3087292,214346,31614,317,2018-08-16,Virgil Misidjan,ELQ,0,0,0,0,73
3912571_322065,3912571,322065,496,237,2022-11-03,Dennis Hadzikadunic,EL,0,0,0,0,90
3286600_614084,3286600,614084,1088,543,2019-12-01,Luke Matheson,FAC,0,0,0,0,90
3838488_534528,3838488,534528,8031,8024,2022-07-28,Yusuf Lawal,ECLQ,0,0,0,0,90
3490807_511534,3490807,511534,5716,1177,2020-12-17,Lukas Engel,DKP,0,0,0,0,108
3055743_272706,3055743,272706,7918,58,2018-07-19,James Lawrence,ELQ,1,0,0,0,90
3052468_52893,3052468,52893,2784,416,2018-07-17,Carlão,CLQ,0,0,0,0,90
3077283_227039,3077283,227039,1269,468,2018-12-21,Younes Namli,NL1,0,0,0,0,28
3911827_451276,3911827,451276,23826,23826,2022-10-11,Dominik Szoboszlai,CL,0,0,0,0,76
3588423_111266,3588423,111266,80,80,2022-01-15,Anthony Losilla,L1,0,0,0,0,90
2751940_262682,2751940,262682,7918,173,2016-08-25,Kingsley Madu,ELQ,0,0,0,0,26
3925948_448981,3925948,448981,2696,932,2022-10-24,Maksim Glushenkov,RU1,0,0,1,0,90
3212650_380409,3212650,380409,7179,7179,2020-07-01,João Jaquité,PO1,2,0,0,0,53
2600607_18310,2600607,18310,618,347,2015-12-02,Benoît Assou-Ekotto,FR1,1,0,0,0,90
3159145_36845,3159145,36845,3999,3999,2019-03-10,Bojan Saranov,GR1,0,0,0,0,90
2906694_338908,2906694,338908,34230,11127,2017-08-23,Oleg Baklov,RUP,0,0,0,0,90
2735541_256902,2735541,256902,1159,172,2017-02-25,Modou Diagne,FR1,0,0,0,0,23
2609832_203540,2609832,203540,3558,3558,2016-05-07,Amos Youga,FR1,0,0,0,0,5
3860403_544472,3860403,544472,924,924,2023-03-18,Emir Kaan Gültekin,TR1,0,0,0,0,26
2894368_375659,2894368,375659,16247,61825,2017-10-28,German Penkov,UKR1,0,0,0,0,90
2732203_153582,2732203,153582,3057,865,2016-11-06,Alexander Scholz,BE1,0,0,0,0,90
3394840_484547,3394840,484547,371,15,2020-08-30,Jeremie Frimpong,SC1,0,0,0,1,28
2982099_47576,2982099,47576,301,1506,2018-02-22,Valerica Gaman,EL,0,0,0,0,61
2764458_199179,2764458,199179,41197,6418,2016-12-15,Nikolaos Melissas,GRP,0,0,0,0,90
3223023_431698,3223023,431698,327,276,2019-08-01,Bosko Sutalo,ELQ,0,0,0,0,120
2700419_79193,2700419,79193,163,798,2016-07-07,Ali Messaoud,ELQ,0,0,1,0,8
3244622_466765,3244622,466765,9095,8024,2019-08-22,Ismaila Soro,ELQ,0,0,0,0,86
2764436_267533,2764436,267533,3062,169,2016-10-25,Damian Gjini,GRP,0,0,0,0,74
